ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-03-18,5078.700157847312,4113.21310305716,5617.50448338756,5078.700157847312,5078.700157847312,-190.08708767091758,-190.08708767091758,-190.08708767091758,2.166285776991686,2.166285776991686,2.166285776991686,-192.25337344790924,-192.25337344790924,-192.25337344790924,0.0,0.0,0.0,4888.613070176394
2008-03-19,5071.3832354937995,4190.6404883267605,5607.466738664095,5071.3832354937995,5071.3832354937995,-190.31170419083122,-190.31170419083122,-190.31170419083122,5.349178819303676,5.349178819303676,5.349178819303676,-195.66088301013488,-195.66088301013488,-195.66088301013488,0.0,0.0,0.0,4881.071531302969
2008-03-20,5064.066313140286,4149.106898788202,5564.881471407017,5064.066313140286,5064.066313140286,-196.28449327145657,-196.28449327145657,-196.28449327145657,1.8606069677551942,1.8606069677551942,1.8606069677551942,-198.14510023921176,-198.14510023921176,-198.14510023921176,0.0,0.0,0.0,4867.781819868829
2008-03-21,5056.749390786774,4169.2870175535645,5578.004159103016,5056.749390786774,5056.749390786774,-196.83041355280812,-196.83041355280812,-196.83041355280812,2.848682854186168,2.848682854186168,2.848682854186168,-199.67909640699432,-199.67909640699432,-199.67909640699432,0.0,0.0,0.0,4859.918977233966
2008-03-22,5049.432468433261,4096.137862102945,5616.212512896675,5049.432468433261,5049.432468433261,-201.71711708195832,-201.71711708195832,-201.71711708195832,-1.4743906940723486,-1.4743906940723486,-1.4743906940723486,-200.2427263878859,-200.2427263878859,-200.2427263878859,0.0,0.0,0.0,4847.715351351303
2008-03-23,5042.115546079749,4105.764606163816,5551.117395561804,5042.115546079749,5042.115546079749,-203.74971784545062,-203.74971784545062,-203.74971784545062,-3.9265501381325953,-3.9265501381325953,-3.9265501381325953,-199.823167707318,-199.823167707318,-199.823167707318,0.0,0.0,0.0,4838.3658282342985
2008-03-24,5034.798623726236,4070.3166045677226,5561.470948556078,5034.798623726236,5034.798623726236,-205.23930292880624,-205.23930292880624,-205.23930292880624,-6.823813586041706,-6.823813586041706,-6.823813586041706,-198.41548934276454,-198.41548934276454,-198.41548934276454,0.0,0.0,0.0,4829.55932079743
2008-03-25,5027.481701372723,4080.71551347757,5603.621803352975,5027.481701372723,5027.481701372723,-193.85695054695287,-193.85695054695287,-193.85695054695287,2.166285776984469,2.166285776984469,2.166285776984469,-196.02323632393734,-196.02323632393734,-196.02323632393734,0.0,0.0,0.0,4833.62475082577
2008-03-26,5020.164779019211,4139.1248545889575,5535.7256140912505,5020.164779019211,5020.164779019211,-187.30983297486463,-187.30983297486463,-187.30983297486463,5.349178819305701,5.349178819305701,5.349178819305701,-192.6590117941703,-192.6590117941703,-192.6590117941703,0.0,0.0,0.0,4832.854946044346
2008-03-27,5012.847856665699,4084.727654724675,5506.759450062526,5012.847856665699,5012.847856665699,-186.4844273368192,-186.4844273368192,-186.4844273368192,1.860606967751044,1.860606967751044,1.860606967751044,-188.34503430457028,-188.34503430457028,-188.34503430457028,0.0,0.0,0.0,4826.36342932888
2008-03-28,5005.530934312185,4120.33108463612,5501.953462594258,5005.530934312185,5005.530934312185,-180.26496204881818,-180.26496204881818,-180.26496204881818,2.8486828541813987,2.8486828541813987,2.8486828541813987,-183.1136449029996,-183.1136449029996,-183.1136449029996,0.0,0.0,0.0,4825.265972263367
2008-03-29,4998.214011958674,4076.1760315984043,5515.926582704904,4998.214011958674,4998.214011958674,-178.48212690947045,-178.48212690947045,-178.48212690947045,-1.4743906940659055,-1.4743906940659055,-1.4743906940659055,-177.00773621540452,-177.00773621540452,-177.00773621540452,0.0,0.0,0.0,4819.731885049204
2008-03-30,4990.897089605161,4038.5234194309796,5543.220802530622,4990.897089605161,4990.897089605161,-174.0076244756183,-174.0076244756183,-174.0076244756183,-3.926550138136876,-3.926550138136876,-3.926550138136876,-170.08107433748143,-170.08107433748143,-170.08107433748143,0.0,0.0,0.0,4816.889465129543
2008-03-31,4983.580167251648,4073.495951676436,5542.528042691562,4983.580167251648,4983.580167251648,-169.22229765246337,-169.22229765246337,-169.22229765246337,-6.823813586044085,-6.823813586044085,-6.823813586044085,-162.3984840664193,-162.3984840664193,-162.3984840664193,0.0,0.0,0.0,4814.357869599185
2008-04-01,4976.263244898136,4055.303121454614,5555.358349944399,4976.263244898136,4976.263244898136,-151.86958310196806,-151.86958310196806,-151.86958310196806,2.166285776997923,2.166285776997923,2.166285776997923,-154.03586887896597,-154.03586887896597,-154.03586887896597,0.0,0.0,0.0,4824.393661796168
2008-04-02,4968.946322544623,4121.819443252487,5560.14940557329,4968.946322544623,4968.946322544623,-139.73086031433374,-139.73086031433374,-139.73086031433374,5.349178819307726,5.349178819307726,5.349178819307726,-145.08003913364146,-145.08003913364146,-145.08003913364146,0.0,0.0,0.0,4829.21546223029
2008-04-03,4961.629400191111,4121.537204296966,5580.302975549514,4961.629400191111,4961.629400191111,-133.76771826609226,-133.76771826609226,-133.76771826609226,1.8606069677618806,1.8606069677618806,1.8606069677618806,-135.62832523385416,-135.62832523385416,-135.62832523385416,0.0,0.0,0.0,4827.861681925019
2008-04-04,4954.312477837598,4067.493504217128,5571.979531898034,4954.312477837598,4954.312477837598,-122.93927402925577,-122.93927402925577,-122.93927402925577,2.8486828541828095,2.8486828541828095,2.8486828541828095,-125.7879568834386,-125.7879568834386,-125.7879568834386,0.0,0.0,0.0,4831.373203808342
2008-04-05,4946.995555484085,4118.268801941595,5518.9132499310335,4946.995555484085,4946.995555484085,-117.14958569791905,-117.14958569791905,-117.14958569791905,-1.474390694070802,-1.474390694070802,-1.474390694070802,-115.67519500384826,-115.67519500384826,-115.67519500384826,0.0,0.0,0.0,4829.845969786166
2008-04-06,4939.678633130573,4075.1455527419794,5577.556030465202,4939.678633130573,4939.678633130573,-109.34075937042086,-109.34075937042086,-109.34075937042086,-3.9265501381411543,-3.9265501381411543,-3.9265501381411543,-105.4142092322797,-105.4142092322797,-105.4142092322797,0.0,0.0,0.0,4830.337873760152
2008-04-07,4932.361710777061,4082.1973762456178,5633.929991799351,4932.361710777061,4932.361710777061,-101.95951459799515,-101.95951459799515,-101.95951459799515,-6.823813586031268,-6.823813586031268,-6.823813586031268,-95.1357010119639,-95.1357010119639,-95.1357010119639,0.0,0.0,0.0,4830.402196179066
2008-04-08,4925.044788423547,4089.43321284888,5490.624631609564,4925.044788423547,4925.044788423547,-82.80899414657006,-82.80899414657006,-82.80899414657006,2.1662857769963106,2.1662857769963106,2.1662857769963106,-84.97527992356636,-84.97527992356636,-84.97527992356636,0.0,0.0,0.0,4842.235794276978
2008-04-09,4917.727866070035,4106.3411863952915,5573.484061531885,4917.727866070035,4917.727866070035,-69.7224300434215,-69.7224300434215,-69.7224300434215,5.349178819300059,5.349178819300059,5.349178819300059,-75.07160886272156,-75.07160886272156,-75.07160886272156,0.0,0.0,0.0,4848.005436026613
2008-04-10,4910.4109437165225,4067.8464422174225,5527.837465906007,4910.4109437165225,4910.4109437165225,-63.703734730902994,-63.703734730902994,-63.703734730902994,1.86060696775365,1.86060696775365,1.86060696775365,-65.56434169865665,-65.56434169865665,-65.56434169865665,0.0,0.0,0.0,4846.707208985619
2008-04-11,4903.09402136301,4077.7184205929548,5642.546627406822,4903.09402136301,4903.09402136301,-53.74320204498283,-53.74320204498283,-53.74320204498283,2.848682854178067,2.848682854178067,2.848682854178067,-56.591884899160895,-56.591884899160895,-56.591884899160895,0.0,0.0,0.0,4849.350819318027
2008-04-12,4895.777099009497,4100.52555874116,5604.305599585788,4895.777099009497,4895.777099009497,-49.763412709644406,-49.763412709644406,-49.763412709644406,-1.4743906940725924,-1.4743906940725924,-1.4743906940725924,-48.28902201557182,-48.28902201557182,-48.28902201557182,0.0,0.0,0.0,4846.013686299852
2008-04-13,4888.4601766559845,4101.064424161594,5579.035829344762,4888.4601766559845,4888.4601766559845,-44.71099677082754,-44.71099677082754,-44.71099677082754,-3.9265501381454326,-3.9265501381454326,-3.9265501381454326,-40.784446632682105,-40.784446632682105,-40.784446632682105,0.0,0.0,0.0,4843.749179885157
2008-04-14,4881.143254302472,4127.283246102101,5610.110515379956,4881.143254302472,4881.143254302472,-41.0220687480009,-41.0220687480009,-41.0220687480009,-6.823813586043257,-6.823813586043257,-6.823813586043257,-34.19825516195765,-34.19825516195765,-34.19825516195765,0.0,0.0,0.0,4840.121185554472
2008-04-15,4873.82633194896,4119.686538336769,5605.726761823089,4873.82633194896,4873.82633194896,-26.47316968997316,-26.47316968997316,-26.47316968997316,2.1662857769994286,2.1662857769994286,2.1662857769994286,-28.63945546697259,-28.63945546697259,-28.63945546697259,0.0,0.0,0.0,4847.353162258986
2008-04-16,4866.509409595447,4097.850757291105,5512.535723232091,4866.509409595447,4866.509409595447,-18.85437174575405,-18.85437174575405,-18.85437174575405,5.349178819313113,5.349178819313113,5.349178819313113,-24.20355056506716,-24.20355056506716,-24.20355056506716,0.0,0.0,0.0,4847.655037849693
2008-04-17,4859.192487241934,4133.117641215406,5522.143304362164,4859.192487241934,4859.192487241934,-19.10965142152412,-19.10965142152412,-19.10965142152412,1.8606069677494994,1.8606069677494994,1.8606069677494994,-20.970258389273617,-20.970258389273617,-20.970258389273617,0.0,0.0,0.0,4840.08283582041
